date,T,Tmin,Tmax,Wind,Rh,Rh_max,Rh_min,Precipitations,Ri_PAR_f,Rg
2012-01-05,24.7375507354736,20.5263366699219,31.023136138916,0.175248593091965,0.797919235229492,0.933362274169922,0.378472404479981,1.99443340301514,7.98283081054688,16.630897521972667
2012-01-06,24.6875953674316,20.7048568725586,31.236536026001,0.173330694437027,0.798265609741211,0.936527557373047,0.30372482299804704,3.19284844398499,8.09510559082031,16.86480331420898
2012-01-07,25.0364017486572,20.6212005615234,31.6019420623779,0.150561854243279,0.8012301635742191,0.935678558349609,0.379795150756836,2.1578209400177,8.31547210693359,17.323900222778313
2012-01-08,25.0159168243408,20.7442188262939,31.8449802398682,0.170107334852219,0.8029534912109381,0.933738555908203,0.37965518951416,1.67851567268372,8.15340728759766,16.986265182495128
2012-01-09,25.0801677703857,20.5605621337891,31.6220798492432,0.163399055600166,0.798106384277344,0.935597534179688,0.35054267883300805,1.59497559070587,7.94348968505859,16.548936843872063
2012-01-10,25.2002983093262,20.603328704834,31.9417591094971,0.172233864665031,0.786986465454102,0.9353038024902339,0.353803253173828,1.00359308719635,7.91083190917969,16.48089981079102
2012-01-11,25.0811939239502,20.5623893737793,32.8455085754395,0.175349414348602,0.778602066040039,0.9345130920410161,0.31755010604858397,0.99648243188858,7.88198364257813,16.420799255371104
2012-01-12,24.8980369567871,20.2971477508545,33.3373947143555,0.175034940242767,0.740948638916016,0.932549743652344,0.304169979095459,0.817519545555115,7.82850860595703,16.309392929077145
2012-01-13,24.4560966491699,20.2699890136719,32.5827255249023,0.184550851583481,0.7211457824707029,0.932136688232422,0.261006813049316,1.85914373397827,7.85329559326172,16.361032485961918
2012-01-14,24.3061790466309,20.301607131958,32.4885520935059,0.152568861842155,0.7237351226806641,0.9347800445556641,0.297422714233398,2.47381949424744,7.19211135864258,14.983565330505376
2012-01-15,24.4662761688232,20.4673633575439,32.1190414428711,0.138603419065475,0.7253347778320309,0.933500747680664,0.290354633331299,2.39122843742371,7.88357757568359,16.424119949340813
2012-01-16,24.7158317565918,20.8761386871338,31.5480136871338,0.127464234828949,0.752585678100586,0.9354304504394529,0.283426551818848,2.81259703636169,7.69189361572266,16.024778366088874
2012-01-17,25.2922325134277,21.1237373352051,32.9062423706055,0.144944369792938,0.788041152954102,0.935702972412109,0.42365364074707,0.798488676548004,7.99616180419922,16.658670425415043
2012-01-18,25.8920459747315,21.6966304779053,32.9538536071777,0.168189749121666,0.8261267852783201,0.933343200683594,0.566112861633301,1.02534353733063,7.98751556396484,16.64065742492675
2012-01-19,26.0355358123779,22.2210540771484,32.7176818847656,0.17787167429924,0.875903167724609,0.9417829895019529,0.590270767211914,1.92877554893494,6.78260147094727,14.130419731140147
2012-01-20,26.2640037536621,22.5684509277344,32.4609260559082,0.218264654278755,0.885913467407227,0.941849822998047,0.596383628845215,1.498011469841,7.27839111328125,15.16331481933594
2012-01-21,26.2968883514404,22.9303436279297,32.3879356384277,0.187342271208763,0.884249114990234,0.942400131225586,0.569043045043945,1.93130207061768,8.24955322265625,17.186569213867188
2012-01-22,26.2214221954346,22.6486301422119,31.8487281799316,0.166564896702766,0.882141571044922,0.943199615478516,0.615237541198731,2.36583757400513,8.07976043701172,16.832834243774418
2012-01-23,26.4811687469482,22.8055267333984,31.8407115936279,0.180563256144524,0.8815415954589839,0.944399185180664,0.610510711669922,2.17468166351318,8.04778289794922,16.766214370727543
2012-01-24,26.8224716186523,22.9187259674072,31.7669620513916,0.16238634288311,0.8692279052734381,0.9417861938476559,0.5777226638793951,1.38913989067078,8.64477813720703,18.00995445251465
2012-01-25,26.7656211853027,22.9455738067627,31.7332515716553,0.167215660214424,0.8718547821044921,0.943571395874024,0.6053197860717769,1.64304399490356,8.48851959228516,17.68441581726075
2012-01-26,26.6478023529053,22.763334274292,31.8063831329346,0.194084689021111,0.867659454345703,0.945066833496094,0.62818962097168,1.5474271774292,8.52998657226562,17.77080535888671
2012-01-27,26.4710865020752,22.9821891784668,31.6336116790772,0.208707198500633,0.8677642822265631,0.9430128479003911,0.623668556213379,2.32623934745789,8.59886810302734,17.914308547973626
2012-01-28,26.4690437316895,22.9643115997314,31.5355949401856,0.21713775396347,0.878910675048828,0.942405242919922,0.63417350769043,3.44500923156738,8.25316772460938,17.194099426269542
2012-01-29,26.3677845001221,22.96657371521,31.2478141784668,0.251793086528778,0.8961541748046881,0.94317512512207,0.637670097351074,5.7673487663269,7.81270202636719,16.276462554931648
2012-01-30,26.3759365081787,22.9401340484619,31.1295127868652,0.248336017131805,0.904932327270508,0.9445458984375,0.6668112182617191,7.75896453857422,7.77501434326172,16.197946548461918
2012-01-31,26.1986331939697,22.916971206665,31.1634082794189,0.239391073584557,0.898883056640625,0.94676643371582,0.658029327392578,7.89412069320679,7.26539154052734,15.136232376098626
2012-02-01,26.3615531921387,22.8593330383301,31.7190456390381,0.197509452700615,0.87391471862793,0.947570495605469,0.595662345886231,3.8596203327179,8.25782684326172,17.203805923461918
2012-02-02,26.8771705627441,22.7082481384277,31.7002429962158,0.173798382282257,0.855062255859375,0.944366149902344,0.592570381164551,1.79814159870148,8.07191436767578,16.816488265991207
2012-02-03,26.8368701934815,22.9209976196289,31.9985656738281,0.168360590934753,0.861697158813477,0.942185211181641,0.580900611877441,1.13603079319,7.25295364379883,15.110320091247564
2012-02-04,27.3529682159424,22.6265048980713,32.5142364501953,0.169966876506805,0.83119010925293,0.9393125915527339,0.5668932342529299,0.53649365901947,8.12731201171875,16.931900024414062
