"IdGenotype","IdProgeny","Site","Plot","LineNumber","TreeNumber","IdTrunk","ObservationDate","BottomPeriphery","OneAndHalfMeterPeriphery","TwoMeterPeriphery","Height","LengthWoodDensitySampleOne","WoodDensityDryWeightSampleOne","LengthWoodDensitySampleTwo","WoodDensityDryWeightSampleTwo","PlantingDate","MAP","TreeId"
"GE01","PO9915","SMSE","B22","35","19","Stipe_SMSE_B22_35_19",2023-12-26,251,260,254,4.8,NA,NA,NA,NA,2011-01-01,155,"SMSE_B22_GE01_35_19"
"GE01","PO9915","SMSE","B22","36","20","Stipe_SMSE_B22_36_20",2020-01-29,235,256,NA,2.6,18.2,0.7,12.4,0.5,2011-01-01,108,"SMSE_B22_GE01_36_20"
"GE01","PO9915","SMSE","B22","36","20","Stipe_SMSE_B22_36_20",2021-01-13,252,251,247,3.04,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE01_36_20"
"GE01","PO9915","SMSE","B22","36","20","Stipe_SMSE_B22_36_20",2022-01-13,296,231,246,3.6,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE01_36_20"
"GE01","PO9915","SMSE","B22","36","20","Stipe_SMSE_B22_36_20",2023-01-17,241,241,223,4.03,NA,NA,NA,NA,2011-01-01,144,"SMSE_B22_GE01_36_20"
"GE01","PO9915","SMSE","B22","36","20","Stipe_SMSE_B22_36_20",2023-12-26,240,264,246,4.63,NA,NA,NA,NA,2011-01-01,155,"SMSE_B22_GE01_36_20"
"GE01","PO9915","SMSE","B22","37","18","Stipe_SMSE_B22_37_18",2020-01-29,284,277,NA,3.07,20.2,0.4,14.6,0.3,2011-01-01,108,"SMSE_B22_GE01_37_18"
"GE01","PO9915","SMSE","B22","37","18","Stipe_SMSE_B22_37_18",2021-01-13,284,274,256,3.08,NA,NA,NA,NA,2011-01-01,120,"SMSE_B22_GE01_37_18"
"GE01","PO9915","SMSE","B22","37","18","Stipe_SMSE_B22_37_18",2022-01-13,283,270,262,3.78,NA,NA,NA,NA,2011-01-01,132,"SMSE_B22_GE01_37_18"
"GE01","PO9915","SMSE","B22","37","18","Stipe_SMSE_B22_37_18",2023-01-17,308,272,269,4.5,NA,NA,NA,NA,2011-01-01,144,"SMSE_B22_GE01_37_18"
"GE01","PO9915","SMSE","B22","37","18","Stipe_SMSE_B22_37_18",2023-12-26,305,320,302,4.94,NA,NA,NA,NA,2011-01-01,155,"SMSE_B22_GE01_37_18"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2014-10-02,252,NA,NA,0.47,NA,NA,NA,NA,2011-01-01,45,"SMSE_B22_GE01_37_19"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2015-01-19,230,NA,NA,0.68,NA,NA,NA,NA,2011-01-01,48,"SMSE_B22_GE01_37_19"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2016-01-21,255,NA,NA,0.78,NA,NA,NA,NA,2011-01-01,60,"SMSE_B22_GE01_37_19"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2017-01-18,273,NA,NA,1.4,NA,NA,NA,NA,2011-01-01,72,"SMSE_B22_GE01_37_19"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2018-01-12,245,248,NA,1.74,NA,NA,NA,NA,2011-01-01,84,"SMSE_B22_GE01_37_19"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2019-01-23,260,265,NA,2.38,NA,NA,NA,NA,2011-01-01,96,"SMSE_B22_GE01_37_19"
"GE01","PO9915","SMSE","B22","37","19","Stipe_SMSE_B22_37_19",2020-01-28,248,263,NA,2.87,14.1,0.4,18.7,0.4,2011-01-01,108,"SMSE_B22_GE01_37_19"
