variable;value;unit;definition;sensitivity;low_boundary;high_boundary;source;comment 
phenology|female|fraction_period_stalk;0.2;;;;0.1;0.30000000000000004;;
respiration|Internode|Q10;1.7;;;;0.85;2.55;;
biomass|leaf|leaflets_biomass_contribution;0.35;;;;0.175;0.5249999999999999;;
reproduction|abortion|abortion_rate_max;0.8;;;;0.4;1.0;;Manually put the upper boundary to 1.0
respiration|RootSystem|Mx;0.005;;;;0.0025;0.0075;;
reproduction|yield_formation|potential_fruit_number_at_maturity;2000.0;;;;1000.0;3000.0;;
carbon_demand|female|respiration_cost_oleosynthesis;3.2;;;;1.6;4.800000000000001;;
reproduction|sex_ratio|random_seed;1.0;;;false;0;1;;
reproduction|yield_formation|fraction_first_female;0.3;;;;0.15;0.44999999999999996;;
phyllochron|production_speed_mature;0.0074;leaf.day-1.degreeC-1;;;0.0037;0.0111;;
dimensions|internode|inflexion_point_height;900.0;;;;450.0;1350.0;;
mass_and_dimensions|leaf|lma_max;200.0;g m-2;;;100.0;300.0;;
dimensions|internode|age_max_height;2920.0;;;;1460.0;4380.0;;
biomass_dry|Stem;0.1;;;;0.05;0.15000000000000002;;
respiration|RootSystem|Turn;0.036;;;;0.018;0.05399999999999999;;
respiration|RootSystem|Q10;2.1;;;;1.05;3.1500000000000004;;
