TreeId,MAP,Site,LAI_MAP,IdGenotype,Date,Cumulated_LAI
PR_G5-1_1_GE09_3_10,46,PR,2.42657348266667,GE09,2014-03-04,2.42657348266667
PR_G5-1_1_GE09_3_10,57,PR,2.74168828266667,GE09,2015-02-05,5.16826176533334
PR_G5-1_1_GE09_3_10,69,PR,3.824364544,GE09,2016-02-09,8.992626309333339
PR_G5-1_1_GE09_3_10,81,PR,4.06629156266667,GE09,2017-02-23,13.05891787200001
PR_G5-1_1_GE09_3_8,46,PR,2.37206783146667,GE09,2014-03-04,2.37206783146667
PR_G5-1_1_GE09_3_8,57,PR,2.49525863253333,GE09,2015-02-05,4.867326464
PR_G5-1_1_GE09_3_8,69,PR,3.22016761733333,GE09,2016-02-09,8.087494081333329
PR_G5-1_1_GE09_3_8,81,PR,4.24055632,GE09,2017-02-23,12.328050401333329
PR_G5-1_1_GE09_4_9,46,PR,1.9252000768,GE09,2014-03-04,1.9252000768
PR_G5-1_1_GE09_4_9,57,PR,2.68057122666667,GE09,2015-02-05,4.605771303466669
PR_G5-1_1_GE09_4_9,69,PR,2.387873488,GE09,2016-02-09,6.99364479146667
PR_G5-1_1_GE09_4_9,81,PR,3.1819179392,GE09,2017-02-23,10.17556273066667
PR_G5-1_1_GE12_10_4,45,PR,2.45755643466667,GE12,2014-02-24,2.45755643466667
PR_G5-1_1_GE12_10_4,57,PR,2.17507903946667,GE12,2015-02-07,4.63263547413334
PR_G5-1_1_GE12_10_4,69,PR,3.61169555413333,GE12,2016-02-11,8.24433102826667
PR_G5-1_1_GE12_10_4,81,PR,4.37020317066667,GE12,2017-02-24,12.61453419893334
PR_G5-1_1_GE12_10_5,45,PR,2.49414712213333,GE12,2014-02-24,2.49414712213333
PR_G5-1_1_GE12_10_5,57,PR,3.0490443984,GE12,2015-02-07,5.54319152053333
PR_G5-1_1_GE12_10_5,69,PR,3.51758180106667,GE12,2016-02-11,9.060773321600001
PR_G5-1_1_GE12_10_5,81,PR,4.397977584,GE12,2017-02-25,13.458750905600002
PR_G5-1_1_GE12_9_5,46,PR,2.0208188,GE12,2014-03-05,2.0208188
PR_G5-1_1_GE12_9_5,57,PR,2.96529299733333,GE12,2015-02-06,4.986111797333329
PR_G5-1_1_GE12_9_5,69,PR,3.4554632112,GE12,2016-02-10,8.441575008533329
PR_G5-1_1_GE12_9_5,81,PR,3.63685829173333,GE12,2017-02-23,12.07843330026666
PR_G5-1_1_GE16_14_24,45,PR,2.36974711306667,GE16,2014-02-26,2.36974711306667
PR_G5-1_1_GE16_14_24,57,PR,3.051184136,GE16,2015-02-09,5.42093124906667
PR_G5-1_1_GE16_14_24,69,PR,4.14186546106667,GE16,2016-02-12,9.562796710133341
PR_G5-1_1_GE16_14_24,81,PR,4.1490537088,GE16,2017-02-27,13.711850418933341
PR_G5-1_1_GE16_14_24,93,PR,4.1444987584,GE16,2018-02-09,17.856349177333342
PR_G5-1_1_GE16_14_24,105,PR,3.80871637813333,GE16,2019-02-18,21.665065555466672
PR_G5-1_1_GE16_14_24,117,PR,4.80009636773333,GE16,2020-02-19,26.4651619232
PR_G5-1_1_GE16_14_24,129,PR,4.33057691733333,GE16,2021-02-10,30.795738840533332
PR_G5-1_1_GE16_14_24,141,PR,4.6561282768,GE16,2022-02-09,35.45186711733333
PR_G5-1_1_GE16_14_24,153,PR,4.8704143488,GE16,2023-02-08,40.322281466133326
PR_G5-1_1_GE16_14_24,165,PR,5.3508799344,GE16,2024-02-07,45.673161400533324
PR_G5-1_1_GE16_14_25,45,PR,2.1590544976,GE16,2014-02-26,2.1590544976
PR_G5-1_1_GE16_14_25,57,PR,2.467601136,GE16,2015-02-09,4.6266556336
PR_G5-1_1_GE16_14_25,69,PR,2.2514780288,GE16,2016-02-12,6.8781336624
PR_G5-1_1_GE16_14_25,81,PR,3.7996406448,GE16,2017-02-27,10.6777743072
PR_G5-1_1_GE16_14_25,93,PR,3.907035132,GE16,2018-02-09,14.5848094392
PR_G5-1_1_GE16_14_25,105,PR,4.1699385728,GE16,2019-02-18,18.754748012
PR_G5-1_1_GE16_14_25,117,PR,4.47488267893333,GE16,2020-02-19,23.22963069093333
PR_G5-1_1_GE16_14_25,129,PR,4.77645675173333,GE16,2021-02-10,28.00608744266666
PR_G5-1_1_GE16_14_25,141,PR,4.7465722304,GE16,2022-02-09,32.75265967306666
PR_G5-1_1_GE16_14_25,153,PR,5.01850682666667,GE16,2023-02-08,37.771166499733326
PR_G5-1_1_GE16_14_25,165,PR,5.3482100672,GE16,2024-02-07,43.119376566933326
PR_G5-1_1_GE16_14_26,45,PR,1.6462013568,GE16,2014-02-26,1.6462013568
