TreeId,MAP,Site,IdGenotype,sum_stalk_biomass_mes,Cumulated_stalk_biomass_mes,Date
PR_G5-1_1_GE02_14_19,46,PR,GE02,0.4674027491485057,0.4674027491485057,2014-03-31
PR_G5-1_1_GE02_14_19,48,PR,GE02,0.49041849241267466,1.448239733973855,2014-05-26
PR_G5-1_1_GE02_14_19,50,PR,GE02,0.3610985248706863,1.8093382588445412,2014-07-21
PR_G5-1_1_GE02_14_19,51,PR,GE02,0.4108280203635656,2.6309942995716726,2014-08-27
PR_G5-1_1_GE02_14_19,57,PR,GE02,0.57178167642518,3.2027759759968526,2015-02-11
PR_G5-1_1_GE02_14_19,58,PR,GE02,0.7697142597595501,4.742204495515953,2015-03-30
PR_G5-1_1_GE02_14_19,59,PR,GE02,0.761337355646271,5.503541851162224,2015-04-27
PR_G5-1_1_GE02_14_19,61,PR,GE02,0.495176772472222,5.998718623634446,2015-06-12
PR_G5-1_1_GE02_14_19,62,PR,GE02,0.566100221274354,6.5648188449088,2015-07-01
PR_G5-1_1_GE02_14_19,64,PR,GE02,0.4406452004834166,7.005464045392216,2015-09-04
PR_G5-1_1_GE02_14_19,65,PR,GE02,0.4236270661406252,7.429091111532841,2015-10-02
PR_G5-1_1_GE02_14_19,70,PR,GE02,0.8323160856594976,9.093723282851835,2016-03-28
PR_G5-1_1_GE02_14_19,73,PR,GE02,0.7186437679407285,10.531010818733293,2016-06-29
PR_G5-1_1_GE02_14_19,75,PR,GE02,0.282574549980605,10.813585368713898,2016-08-24
PR_G5-1_1_GE02_14_19,76,PR,GE02,0.43334285366671993,11.680271076047338,2016-09-30
PR_G5-1_1_GE02_14_19,85,PR,GE02,0.890040968677906,13.46035301340315,2017-06-28
PR_G5-1_1_GE02_14_19,87,PR,GE02,0.770382665817009,14.230735679220158,2017-08-23
PR_G5-1_1_GE02_14_19,88,PR,GE02,0.896892530910053,15.127628210130212,2017-09-01
PR_G5-1_1_GE02_14_19,89,PR,GE02,1.1414589421267491,17.41054609438371,2017-10-27
