Site,TreeId,MAP,IdGenotype,Date,BunchMass,DryMesocarpOilContent,MesocarpsSampleWC,n_of_fruit,biomass_fresh_fruit,biomass_dry_fruit,stalk_dry_biomass,stalk_fresh_biomass
PR,PR_G5-1_4_GE09_54_6,45,GE09,2014-02-04,3.0000000000000004,,,,,,,
PR,PR_G5-1_4_GE06_58_6,45,GE06,2014-02-04,8.399999999999999,,,,,,,
PR,PR_G5-1_4_GE06_59_3,45,GE06,2014-02-25,10.8,,,,,,,
PR,PR_G5-1_4_GE06_59_5,45,GE06,2014-02-25,8.8,,,,,,,
PR,PR_G5-1_4_GE12_64_10,45,GE12,2014-02-26,18.400000000000002,,,,,,,
PR,PR_G5-1_4_GE12_64_11,45,GE12,2014-02-26,3.8000000000000003,,,,,,,
PR,PR_G5-1_4_GE16_64_4,45,GE16,2014-02-26,29.799999999999997,,,,,,,
PR,PR_G5-1_4_GE16_64_5,45,GE16,2014-02-26,28.200000000000003,,,,,,,
PR,PR_G5-1_4_GE16_64_6,45,GE16,2014-02-26,20.0,,,,,,,
PR,PR_G5-1_4_GE12_64_9,45,GE12,2014-02-26,19.2,,,,,,,
PR,PR_G5-1_5_GE09_69_10,45,GE09,2014-02-26,6.200000000000001,,,,,,,
PR,PR_G5-1_5_GE12_69_19,45,GE12,2014-02-26,20.799999999999997,,,,,,,
PR,PR_G5-1_5_GE12_69_20,45,GE12,2014-02-26,11.2,,,,,,,
PR,PR_G5-1_5_GE09_69_8,45,GE09,2014-02-26,11.0,,,,,,,
PR,PR_G5-1_5_GE09_69_9,45,GE09,2014-02-26,19.4,,,,,,,
PR,PR_G5-1_5_GE12_70_20,45,GE12,2014-02-26,12.0,,,,,,,
PR,PR_G5-1_5_GE16_74_10,45,GE16,2014-02-26,15.799999999999999,,,,,,,
PR,PR_G5-1_5_GE16_74_11,45,GE16,2014-02-26,23.6,,,,,,,
PR,PR_G5-1_5_GE16_74_9,45,GE16,2014-02-26,15.8,,,,,,,
PR,PR_G5-1_5_GE06_79_13,45,GE06,2014-02-26,6.6,,,,,,,
PR,PR_G5-1_5_GE06_79_14,45,GE06,2014-02-26,15.6,,,,,,,
PR,PR_G5-1_5_GE06_79_15,45,GE06,2014-02-26,25.000000000000004,,,,,,,
PR,PR_G5-1_5_GE02_79_23,45,GE02,2014-02-26,16.8,,,,,,,
PR,PR_G5-1_5_GE02_79_24,45,GE02,2014-02-26,14.799999999999997,,,,,,,
PR,PR_G5-1_5_GE02_79_25,45,GE02,2014-02-26,9.0,,,,,,,
PR,PR_G5-1_5_GE03_79_3,45,GE03,2014-02-26,17.400000000000002,,,,,,,
PR,PR_G5-1_5_GE03_79_4,45,GE03,2014-02-26,16.799999999999997,,,,,,,
PR,PR_G5-1_5_GE03_79_5,45,GE03,2014-02-26,9.0,,,,,,,
PR,PR_G5-1_1_GE12_9_5,45,GE12,2014-02-22,16.6,,,,,,,
PR,PR_G5-1_1_GE12_10_4,46,GE12,2014-03-31,15.999999999999998,79.03,0.30475,834,3.206,0.48253969800292207,0.5009428642481702,1.434
PR,PR_G5-1_1_GE12_10_5,46,GE12,2014-03-31,16.200000000000003,80.31,0.29275,484,3.902,0.5353468599033809,0.4481761839080457,1.3980000000000001
PR,PR_G5-1_2_GE16_13_3,46,GE16,2014-03-31,10.2,81.26,0.24525,,,,,1.454
PR,PR_G5-1_1_GE06_14_14,46,GE06,2014-03-21,10.2,,,,,,,
PR,PR_G5-1_1_GE06_14_15,46,GE06,2014-03-31,8.4,79.45,0.31675,594,1.796,0.6570946542422761,0.40676795357814177,1.1620000000000001
PR,PR_G5-1_1_GE02_14_19,46,GE02,2014-03-31,17.4,77.55,0.36,779,2.542,0.3633193971803596,0.4674027491485057,1.394
PR,PR_G5-1_1_GE02_14_20,46,GE02,2014-03-31,18.0,71.78,0.505,416,1.796,0.2602898550724637,0.4254353949550807,1.262
PR,PR_G5-1_1_GE02_14_21,46,GE02,2014-03-03,7.0,,,,,,,
PR,PR_G5-1_1_GE16_14_24,46,GE16,2014-03-31,19.6,79.95,0.2925,,,,,1.6460000000000001
PR,PR_G5-1_1_GE16_14_25,46,GE16,2014-03-31,13.4,79.86,0.28525,,,,,1.606
PR,PR_G5-1_1_GE16_14_26,46,GE16,2014-03-31,13.4,78.11,0.36275,,,,,1.558
PR,PR_G5-1_1_GE06_15_15,46,GE06,2014-03-31,15.6,75.49,0.3465,581,2.208,0.8388423669816012,0.4773605365883664,1.286
PR,PR_G5-1_1_GE03_19_18,46,GE03,2014-03-31,12.4,81.49,0.44975,,,,,1.244
PR,PR_G5-1_1_GE03_19_19,46,GE03,2014-03-31,14.4,76.51,0.37925,,,,,1.072
PR,PR_G5-1_1_GE03_19_20,46,GE03,2014-03-31,16.799999999999997,78.51,0.267,,,,,1.596
PR,PR_G5-1_2_GE16_24_10,46,GE16,2014-03-14,12.2,,,,,,,
PR,PR_G5-1_2_GE16_24_11,46,GE16,2014-03-24,8.4,,,,,,,
PR,PR_G5-1_2_GE16_24_9,46,GE16,2014-03-14,15.600000000000001,,,,,,,
PR,PR_G5-1_2_GE09_28_25,46,GE09,2014-03-05,4.800000000000001,,,,,,,
PR,PR_G5-1_2_GE09_28_26,46,GE09,2014-03-24,14.6,,,,,,,
PR,PR_G5-1_2_GE12_29_10,46,GE12,2014-03-14,9.0,,,,,,,
PR,PR_G5-1_2_GE02_29_13,46,GE02,2014-03-14,4.4,,,,,,,
PR,PR_G5-1_2_GE02_29_14,46,GE02,2014-03-24,4.4,,,,,,,
PR,PR_G5-1_2_GE02_29_15,46,GE02,2014-03-24,3.2,,,,,,,
PR,PR_G5-1_2_GE03_29_18,46,GE03,2014-03-24,7.6,,,,,,,
PR,PR_G5-1_2_GE03_29_19,46,GE03,2014-03-24,8.0,,,,,,,
PR,PR_G5-1_2_GE09_29_25,46,GE09,2014-03-05,15.0,,,,,,,
PR,PR_G5-1_2_GE12_29_8,46,GE12,2014-03-24,10.399999999999999,,,,,,,
PR,PR_G5-1_2_GE12_29_9,46,GE12,2014-03-05,4.0,,,,,,,
PR,PR_G5-1_3_GE03_33_3,46,GE03,2014-03-24,2.4,,,,,,,
PR,PR_G5-1_3_GE03_33_4,46,GE03,2014-03-24,9.2,,,,,,,
PR,PR_G5-1_3_GE03_33_5,46,GE03,2014-03-24,4.6,,,,,,,
PR,PR_G5-1_2_GE06_34_10,46,GE06,2014-03-24,14.200000000000001,,,,,,,
PR,PR_G5-1_2_GE06_34_11,46,GE06,2014-03-24,5.4,,,,,,,
PR,PR_G5-1_2_GE06_34_9,46,GE06,2014-03-24,6.800000000000001,,,,,,,
PR,PR_G5-1_3_GE16_39_18,46,GE16,2014-03-24,3.4,,,,,,,
PR,PR_G5-1_3_GE16_39_19,46,GE16,2014-03-14,9.600000000000001,,,,,,,
PR,PR_G5-1_3_GE16_39_20,46,GE16,2014-03-24,11.399999999999999,,,,,,,
PR,PR_G5-1_3_GE06_39_23,46,GE06,2014-03-14,13.799999999999999,,,,,,,
PR,PR_G5-1_3_GE06_39_24,46,GE06,2014-03-14,10.600000000000001,,,,,,,
PR,PR_G5-1_3_GE06_39_25,46,GE06,2014-03-24,13.799999999999999,,,,,,,
PR,PR_G5-1_3_GE12_39_3,46,GE12,2014-03-24,7.199999999999999,,,,,,,
PR,PR_G5-1_3_GE12_39_4,46,GE12,2014-03-14,8.4,,,,,,,
PR,PR_G5-1_3_GE12_39_5,46,GE12,2014-03-24,12.0,,,,,,,
PR,PR_G5-1_1_GE09_3_10,46,GE09,2014-03-31,21.2,80.95,0.3175,804,3.7359999999999998,0.5355674603174615,0.6742248941949145,1.9
PR,PR_G5-1_1_GE09_3_8,46,GE09,2014-03-31,13.0,80.53,0.288,597,2.968,0.43076708229426447,0.4441767079181435,1.228
PR,PR_G5-1_3_GE09_44_6,46,GE09,2014-03-26,10.0,,,,,,,
PR,PR_G5-1_4_GE02_49_10,46,GE02,2014-03-17,7.4,,,,,,,
PR,PR_G5-1_3_GE02_49_4,46,GE02,2014-03-17,11.8,,,,,,,
PR,PR_G5-1_3_GE02_49_5,46,GE02,2014-03-07,8.399999999999999,,,,,,,
PR,PR_G5-1_4_GE02_49_8,46,GE02,2014-03-26,15.600000000000001,,,,,,,
PR,PR_G5-1_4_GE02_49_9,46,GE02,2014-03-07,4.2,,,,,,,
PR,PR_G5-1_1_GE09_4_9,46,GE09,2014-03-12,8.8,,,,,,,
PR,PR_G5-1_3_GE02_50_4,46,GE02,2014-03-17,6.0,,,,,,,
PR,PR_G5-1_4_GE03_53_18,46,GE03,2014-03-17,9.8,74.85,0.412,,,,,1.236
PR,PR_G5-1_4_GE03_53_19,46,GE03,2014-03-26,8.0,,,,,,,
PR,PR_G5-1_4_GE03_53_20,46,GE03,2014-03-17,3.0,,,,,,,
PR,PR_G5-1_4_GE09_54_4,46,GE09,2014-03-26,15.4,,,,,,,
PR,PR_G5-1_4_GE09_54_5,46,GE09,2014-03-26,16.599999999999998,,,,,,,
PR,PR_G5-1_4_GE09_54_6,46,GE09,2014-03-07,0.6,,,,,,,
PR,PR_G5-1_4_GE06_58_6,46,GE06,2014-03-17,12.0,,,,,,,
PR,PR_G5-1_4_GE06_59_3,46,GE06,2014-03-17,3.4,,,,,,,
PR,PR_G5-1_4_GE06_59_5,46,GE06,2014-03-26,13.2,,,,,,,
PR,PR_G5-1_4_GE12_64_10,46,GE12,2014-03-10,9.6,,,,,,,
PR,PR_G5-1_4_GE12_64_11,46,GE12,2014-03-28,2.8,,,,,,,
PR,PR_G5-1_4_GE16_64_4,46,GE16,2014-03-28,16.6,,,,,,,
PR,PR_G5-1_4_GE16_64_5,46,GE16,2014-03-28,10.6,,,,,,,
PR,PR_G5-1_4_GE16_64_6,46,GE16,2014-03-28,17.6,,,,,,,
PR,PR_G5-1_4_GE12_64_9,46,GE12,2014-03-28,13.6,,,,,,,
PR,PR_G5-1_5_GE09_69_10,46,GE09,2014-03-28,1.7999999999999998,,,,,,,
PR,PR_G5-1_5_GE12_69_19,46,GE12,2014-03-28,16.6,,,,,,,
PR,PR_G5-1_5_GE12_69_20,46,GE12,2014-03-28,17.8,,,,,,,
PR,PR_G5-1_5_GE09_69_8,46,GE09,2014-03-19,11.0,,,,,,,
